need_treatment,rdisc_DESPOT,rdisc_ExpertDSA,rdisc_ExpertHOSP,rdisc_POMCP,rdisc_Random,time2recover_DESPOT,time2recover_ExpertDSA,time2recover_ExpertHOSP,time2recover_POMCP,time2recover_Random,treated_DESPOT,treated_ExpertDSA,treated_ExpertHOSP,treated_POMCP,treated_Random
false,4707.5,3850.0,4250.0,5000.0,-19770.499354619125,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4205.275671874999,3850.0,4250.0,-1327.5,3850.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4572.124999999999,3850.0,4250.0,4850.0,-5627.5,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4321.342812499999,3850.0,4250.0,5000.0,-19657.8778125,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4321.342812499999,3850.0,3653.874999999999,5000.0,-5511.125000000001,24.0,24.0,2.0,24.0,24.0,false,false,true,false,false
false,3320.7482291738265,3850.0,4250.0,5000.0,-24574.671768279513,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,3706.4002768293776,3850.0,4250.0,5000.0,-29899.832087322888,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,4443.518749999999,3850.0,4250.0,4850.0,-15628.2153125,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,3635.275671874999,3850.0,4250.0,5000.0,-20375.5755912706,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,3226.210817715135,3850.0,4250.0,5000.0,5000.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,-1258.2381117187515,-1327.5,4250.0,5000.0,5000.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
true,5797.521526829378,8813.875,-1395.0687500000008,-50000.0,-50000.0,3.0,3.0,4.0,24.0,24.0,true,true,true,false,false
false,4443.518749999999,3850.0,4250.0,5000.0,-450.0,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,3796.210817715135,3850.0,4250.0,-6246.125000000001,-7067.106250000001,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
false,3706.4002768293776,3850.0,4250.0,4572.124999999999,-24882.409570177442,24.0,24.0,24.0,24.0,24.0,false,false,false,false,false
true,2420.255312499999,8813.875,-47450.0,-50000.0,-35432.01495764815,4.0,3.0,24.0,24.0,8.0,true,true,false,false,true
